StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:45,2025/9/10 20:49,0,100,236,1,2025/9/10 20:49,R_7WCmK4bhrWoXQjS,,,,,-15.7798,-47.9331,anonymous,JA,1,1,61 ,4,4,5,2,2,2,3,5,5,3,2,3,,4,0KgOWVWGRIFY0T1JJjVKkF
2025/9/10 20:44,2025/9/10 20:49,0,100,314,1,2025/9/10 20:49,R_5R8hZ7c0CJT3Kkc,,,,,-15.7798,-47.9331,anonymous,JA,1,1,47 ,3,5,5,1,2,2,4,5,4,1,2,3,,3,1PWIq79xjLZKXASMXlvUOq
2025/9/10 20:45,2025/9/10 20:49,0,100,282,1,2025/9/10 20:49,R_6r1eRBfeVYDWpMm,,,,,-29.5909,-51.3508,anonymous,JA,1,2,46 ,1,1,3,1,2,2,4,3,3,4,2,3,,3,5KyGZXcDiJzrShlFkGIV5m
2025/9/10 20:45,2025/9/10 20:50,0,100,268,1,2025/9/10 20:50,R_7xCnSShCEXeCY9z,,,,,-23.5246,-46.1835,anonymous,JA,1,2,69 ,4,4,3,2,2,2,2,2,1,4,2,3,,2,5QgTfwgehWGXinsaat6kAp
2025/9/10 20:46,2025/9/10 20:52,0,100,364,1,2025/9/10 20:52,R_7eVWRqusBfULbEJ,,,,,-22.8951,-47.0439,anonymous,JA,1,2,36 ,4,4,3,3,2,2,3,3,1,4,4,3,,3,7d31ucNKcqqdJQk7qzZub4
2025/9/10 20:50,2025/9/10 20:53,0,100,168,1,2025/9/10 20:53,R_7FBjeK2BSKUayrf,,,,,-22.7247,-47.6589,anonymous,JA,1,2,55 ,2,5,1,3,2,2,3,3,1,4,1,3,,1,1tUpw6IS9TmOwtN31DsXv5
2025/9/10 20:46,2025/9/10 20:53,0,100,431,1,2025/9/10 20:53,R_7ri7rF9r7OVQIVz,,,,,-16.1618,-47.8,anonymous,JA,1,2,36 ,2,2,3,3,3,3,3,3,1,3,2,2,2,,7skNSdhqJ6kNNsmxqi51P9
2025/9/10 20:52,2025/9/10 20:55,0,100,142,1,2025/9/10 20:55,R_7rJT5Wv7O76dvzW,,,,,-25.0525,-53.3881,anonymous,JA,1,2,37 ,3,5,5,1,1,3,3,5,5,1,3,1,5,,4GrtnnrqFssavIl59irt7l
2025/9/10 20:54,2025/9/10 20:55,0,100,45,1,2025/9/10 20:55,R_7aqqPdCr8ZqiZyE,,,,,-23.9613,-46.391,anonymous,JA,1,2,21 ,5,2,1,2,2,3,3,5,2,1,3,2,2,,4sN2JiO06eGzXYQo4ZHr4u
2025/9/10 20:55,2025/9/10 20:56,0,100,62,1,2025/9/10 20:56,R_14HnuUneYeuzHgn,,,,,-23.5475,-46.6361,anonymous,JA,1,1,41 ,4,4,3,5,4,3,3,1,1,3,2,2,3,,71aEkdYY7gI3SKsqYbvoIR
2025/9/10 20:55,2025/9/10 20:57,0,100,105,1,2025/9/10 20:57,R_6sVCKsLUf9K6gJr,,,,,-8.0009,-34.8687,anonymous,JA,1,2,55 ,4,3,3,2,2,2,2,3,4,3,1,1,2,,6wLCCw482F4iyNX1yKsIOL
2025/9/10 20:55,2025/9/10 20:57,0,100,82,1,2025/9/10 20:57,R_1tEhU4nedk7Meil,,,,,-23.6293,-46.6351,anonymous,JA,1,1,25 ,3,1,3,3,3,3,3,3,3,4,2,2,3,,56LCbsvvItIbqn23TnrTJx
2025/9/10 20:55,2025/9/10 20:57,0,100,89,1,2025/9/10 20:57,R_3S2zeOmJuHtmivO,,,,,-3.6734,-40.9925,anonymous,JA,1,2,23 ,3,2,5,1,1,5,5,5,5,1,3,3,,5,6jCVtqAKkEFR6fhWBdU5PM
2025/9/10 20:55,2025/9/10 20:57,0,100,104,1,2025/9/10 20:57,R_1FOIm5rvCRM26dd,,,,,-31.8414,-52.5503,anonymous,JA,1,1,33 ,5,7,2,2,1,2,1,4,2,2,1,1,2,,0PHIbNApoQC9INKFTHJH33
2025/9/10 20:55,2025/9/10 20:57,0,100,149,1,2025/9/10 20:57,R_7hxq5VXexg9qali,,,,,-9.575,-35.6908,anonymous,JA,1,2,29 ,3,1,5,1,1,1,3,5,2,1,3,1,3,,2WNlt6ZM6zcZsFEFqszP0o
2025/9/10 20:55,2025/9/10 20:57,0,100,123,1,2025/9/10 20:57,R_70ChmwoRzSnm6SB,,,,,-11.2987,-41.84,anonymous,JA,1,2,31 ,2,3,3,1,1,1,1,1,1,1,1,1,1,,6ZmAETWDY3RDmqM8Lo4ZMP
2025/9/10 20:55,2025/9/10 20:57,0,100,130,1,2025/9/10 20:57,R_1hL5o4ORrUlbR9D,,,,,-23.5246,-46.1835,anonymous,JA,1,1,21 ,2,4,5,2,2,2,3,3,2,4,2,3,,3,1vk41voEt0CAMMJAX2PMsk
2025/9/10 20:54,2025/9/10 20:57,0,100,196,1,2025/9/10 20:57,R_71RaTLDHzXnJZw7,,,,,-18.032,-49.7072,anonymous,JA,1,1,31 ,4,2,1,5,3,1,2,1,1,2,1,2,2,,7Eihbaq7SzYsnTvIQ9vSI2
2025/9/10 20:55,2025/9/10 20:57,0,100,131,1,2025/9/10 20:57,R_7BC3KiAFQN8isAp,,,,,-25.6657,-49.3159,anonymous,JA,1,2,43 ,2,2,1,5,1,1,2,3,1,2,1,3,,2,3OwO1vZGzwzI1o7aE67wNc
